identifier,Score,BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD
CNP0494132.0,-6.5,1.3621109103949798,0.0,1.341173925839421,0.0,,7.520209590441733,4.020725758589058,1.8171205928321397,,2
CNP0494159.1,-6.1,1.6215502353887892,,1.1251390430015382,0.0,0.6931471805599453,9.77998698954557,5.758965220492401,0.0,1.0986122886681098,0
CNP0494236.1,-5.225,1.6217893031903758,,1.13370360847938,0.0,0.0,9.537648985906058,5.582770171658424,0.0,1.0986122886681098,0
CNP0494269.1,-11.5,0.918473460123238,2.70805020110221,1.7416350820454864,3.605551275463989,2.3978952727983707,14.873914891578147,7.5361220433923615,2.6207413942088964,,1
CNP0494307.0,-8.2,1.243021077800058,0.6931471805599453,1.4610179073158271,0.0,0.6931471805599453,9.921947920015215,5.0,1.8171205928321397,,5
CNP0494323.1,-9.1,0.9297602435237214,2.70805020110221,1.722378323614696,3.7416573867739418,2.772588722239781,15.950963535897545,8.015594581376558,2.154434690031884,0.0,9
CNP0494449.1,-10.6,1.1257814586631891,1.6094379124341005,1.7206635475443246,2.0,1.0986122886681098,10.781405593942758,5.748897078944831,1.8171205928321397,,3
CNP0494566.0,-7.3,1.2768705265441838,0.6931471805599453,1.5260563034950492,1.4142135623730951,,7.847423645751437,4.101565929702348,1.8171205928321397,,1
CNP0494620.0,-7.8,1.169543491215634,1.3862943611198906,1.5968591302272404,1.7320508075688772,,10.944408139618762,5.406120175750225,1.8171205928321397,,1
CNP0494655.1,-5.8,1.6153339782654523,,1.11570672202741,0.0,0.0,9.50528471395673,5.614672408001491,0.0,1.0986122886681098,0
CNP0494662.1,-9.072,1.0355538733902412,1.3862943611198906,1.4648566836229928,1.4142135623730951,2.302585092994046,11.9622613528526,6.0822019955734,1.8171205928321397,0.6931471805599453,5
CNP0494667.1,-9.2,1.2066828919510575,0.6931471805599453,1.4445632692438664,0.0,1.0986122886681098,8.322478015129679,4.732623491163369,1.9129311827723892,,2
CNP0494772.2,-5.069,1.6145420700083557,,1.1198896871153945,0.0,0.0,9.77301202576036,5.748897078944831,0.0,1.0986122886681098,0
CNP0494840.0,-5.8,1.325750680732604,0.6931471805599453,1.7346010553881064,1.4142135623730951,1.0986122886681098,5.820427311867385,4.081655101917348,1.709975946676697,,0
